data_time,UE_Pcell_rsrp,UE_Ncell_rsrp_1,UE_Ncell_rsrp_2,UE_mcs2_ul,UE_mcs1_dl,UE_wbCQI,UE_mcs1_dl,Pcell_prb_dl_used,UE_pdu_dl_used,UE_tbs_dl_used,Ncell_prb_dl_used_1,Ncell_prb_dl_used_2,UE_prb_retx_rate
2021-06-21+19_32_41,-65,-89,-85,28,28,15,28,11532,481,1056694,0,0,0.016292758
2021-06-21+19_32_43,-65,-94,-85,28,28,15,27.97878788,7942,336,727034,0,0,0.012434718
2021-06-21+19_32_44,-65,-96,-85,28,28,15,27.98709677,11299,470,1035148,0,0,0.004405675
2021-06-21+19_32_45,-65,-95,-85,28,28,15,27.99488055,14240,590,1305118,0,0,0.010561423
2021-06-21+19_32_46,-65,-89,-85,28,28,15,28,13278,551,1217037,0,0,0.007474959
2021-06-21+19_32_47,-65,-83,-85,28,28,15,27.99759036,20215,832,1853340,0,0,0.017640198
2021-06-21+19_32_48,-65,-88,-85,28,28,15,27.96714849,18443,765,1690408,0,0,0.012052711
2021-06-21+19_32_49,-65,-100,-85,28,28,15,28,14115,584,1293800,0,0,0.012868033
2021-06-21+19_32_50,-65,-100,-85,28,28,15,27.98577236,11962,496,1096066,0,0,0.015878239
2021-06-21+19_32_51,-65,-96,-85,28,28,15,28,12148,506,1112950,0,0,0.0091354
2021-06-21+19_32_52,-65,-97,-85,28,28,15,27.97494781,11567,483,1059828,0,0,0.029369808
2021-06-21+19_32_53,-65,-85,-85,28,28,15,28,11249,465,1030842,0,0,0.00442517
2021-06-21+19_32_54,-65,-100,-85,28,28,15,27.8,2223,103,202194,0,0,0
2021-06-21+19_32_55,-65,-98,-85,28,28,15,28,11825,492,1083521,0,0,0.026748971
2021-06-21+19_32_56,-65,-100,-85,28,28,15,27.99424184,12670,525,1161134,0,0,0.009769441
2021-06-21+19_32_57,-64,-99,-85,28,28,15,27.99640288,13476,560,1235074,0,0,0.014624159
2021-06-21+19_32_58,-64,-99,-85,28,28,15,20.5,24,11,414,0,0,0
2021-06-21+19_32_59,-65,-99,-85,28,28,15,28,12217,507,1119447,0,0,0.010288399
2021-06-21+19_33_00,-64,-99,-85,28,28,15,27.94047619,12194,508,1117123,0,0,0.01613684
2021-06-21+19_33_01,-64,-99,-85,28,28,15,27.98765432,11838,490,1084522,0,0,0.000506586
2021-06-21+19_33_02,-64,-99,-85,28,28,15,27.94782609,13905,580,1274121,0,0,0.012428977
2021-06-21+19_33_03,-64,-99,-85,28,28,15,27.99398798,12115,503,1110156,0,0,0.015680858
2021-06-21+19_33_04,-65,-87,-85,28,28,15,27.99005964,12203,507,1118064,0,0,0.008128099
2021-06-21+19_33_05,-65,-87,-85,28,28,15,27.93527508,7497,316,685996,0,0,0.015237094
2021-06-21+19_33_06,-65,-98,-85,28,28,15,27.80733945,5171,225,472577,0,0,0
2021-06-21+19_33_07,-65,-98,-85,28,28,15,14,18,9,93,0,0,0
