dataTime,pcelRsrp,ncell1Rsrp,ncell2Rsrp,mcs1Dl,mcs2Dl,wbCqi,mcs2dl_ave,prb_used_pcell,pdu_used,tbs_used,prb_used_ncell1,prb_used_ncell2,prb_retxrate
2021-06-13+16_28_11,-66,-86,-95,28,28,15,28,10384,430,951561,0,10804,0
2021-06-13+16_28_12,-66,-86,-95,28,28,15,28,14342,592,1314523,0,10788,0.001253482
2021-06-13+16_28_13,-66,-86,-95,28,28,15,28,10871,451,996026,0,10793,0
2021-06-13+16_28_14,-66,-86,-95,28,28,15,27.99764151,10330,428,946468,0,10789,0
2021-06-13+16_28_15,-66,-86,-95,28,28,15,28,10338,430,946964,0,11120,0
2021-06-13+16_28_16,-66,-86,-95,28,28,15,27.98584906,10340,428,947373,0,12164,0
2021-06-13+16_28_17,-66,-86,-95,28,28,15,28,10336,428,947142,0,12116,0
2021-06-13+16_28_18,-66,-86,-95,28,28,15,28,10336,429,946950,0,11154,0
2021-06-13+16_28_19,-66,-86,-95,28,28,15,28,10730,445,983125,0,13398,0
2021-06-13+16_28_20,-66,-86,-95,28,28,15,28,12381,513,1134272,0,10081,0
2021-06-13+16_28_21,-66,-86,-95,28,28,15,27.93478261,10087,419,923960,0,11454,0
2021-06-13+16_28_22,-66,-86,-95,28,28,15,27.99610895,12532,519,1148216,0,13079,0.001990921
2021-06-13+16_28_23,-66,-86,-95,28,28,15,28,10094,418,924938,0,11466,0
2021-06-13+16_28_24,-66,-86,-95,28,28,15,28,10073,419,922664,0,10105,0
2021-06-13+16_28_26,-66,-86,-95,28,28,15,27.9875,11693,484,1071456,0,12428,0
2021-06-13+16_28_27,-66,-86,-95,28,28,15,28,10338,429,947104,0,12426,0
2021-06-13+16_28_28,-66,-86,-95,28,28,15,28,11139,462,1020649,0,10184,0
2021-06-13+16_28_29,-66,-86,-95,28,28,15,27.99515738,10071,419,922360,0,10039,0
2021-06-13+16_28_30,-66,-86,-95,28,28,15,28,10062,416,922072,0,12893,0
2021-06-13+16_28_31,-66,-86,-95,28,28,15,28,12475,517,1142874,0,11718,0
2021-06-13+16_28_32,-66,-86,-95,28,28,15,27.99518072,10109,419,926254,0,11063,0
2021-06-13+16_28_33,-66,-86,-95,28,28,15,28,12461,516,1141814,0,11433,0
2021-06-13+16_28_34,-66,-86,-95,28,28,15,28,10121,420,927234,0,11722,0
2021-06-13+16_28_35,-66,-86,-95,28,28,15,28,11430,474,1047302,0,10766,0
2021-06-13+16_28_36,-66,-86,-95,28,28,15,28,10337,428,947048,0,11851,0.001738291
2021-06-13+16_28_37,-66,-86,-95,28,28,15,27.98516949,11492,476,1053054,0,10801,0
2021-06-13+16_28_38,-66,-86,-95,28,28,15,28,14333,591,1313909,0,10789,0.001254268
2021-06-13+16_28_39,-66,-86,-95,28,28,15,28,10346,431,947527,0,10782,0
2021-06-13+16_28_40,-66,-86,-95,28,28,15,27.99779736,11068,459,1013992,0,10826,0
2021-06-13+16_28_41,-66,-86,-95,28,28,15,28,12511,518,1146388,0,13779,0
2021-06-13+16_28_42,-66,-86,-95,28,28,15,28,10071,418,922650,0,10349,0
2021-06-13+16_28_43,-66,-86,-95,28,28,15,28,12490,517,1144501,0,12715,0.001997603
2021-06-13+16_28_44,-66,-86,-95,28,28,15,27.98313253,10129,419,927956,0,11713,0
2021-06-13+16_28_45,-66,-86,-95,28,28,15,28,10027,417,918485,0,10751,0.001791936
2021-06-13+16_28_46,-66,-86,-95,28,28,15,28,11227,464,1028875,0,15654,0
2021-06-13+16_28_47,-66,-86,-95,28,28,15,28,10336,429,946981,0,11472,0.001738459
2021-06-13+16_28_49,-66,-86,-95,28,28,15,28,14689,604,1346451,0,11411,0.001088065
2021-06-13+16_28_50,-66,-86,-95,28,27,15,27.98257081,11178,463,1024131,0,10846,0
2021-06-13+16_28_51,-66,-86,-95,28,28,15,28,10788,450,987844,0,13870,0
2021-06-13+16_28_52,-66,-86,-95,28,28,15,28,12207,505,1118734,0,10364,0
